Generation Model,correctness,completeness_reference,faithfulness,completeness_question
Qwen/Qwen3-0.6B,3.6666666666666665,3.06,3.98,4.193333333333333
Qwen/Qwen3-1.7B,3.9133333333333336,3.5,4.1466666666666665,4.433333333333334
Qwen/Qwen3-4B,4.14,3.64,4.3533333333333335,4.486666666666666
Qwen/Qwen3-8B,4.206666666666667,3.62,4.48,4.533333333333333
