Generation Model,correctness,completeness_reference,faithfulness,completeness_question
meta-llama/Llama-3.2-1B-Instruct,3.96,3.3933333333333335,4.3,4.18
meta-llama/Llama-3.2-3B-Instruct,4.573333333333333,4.226666666666667,4.82,4.56
