Generation Model,correctness,completeness_reference,faithfulness,completeness_question
meta-llama/Llama-3.2-1B-Instruct,4.42,3.72,4.76,4.3133333333333335
meta-llama/Llama-3.2-3B-Instruct,4.86,4.6,4.966666666666667,4.766666666666667
