Generation Prompt Used,correctness,completeness_reference,faithfulness,completeness_question
Basic_RAG_Prompt,4.6866666666666665,4.3533333333333335,4.9,4.786666666666667
COT_Prompt,4.8133333333333335,4.546666666666667,4.866666666666666,4.833333333333333
No_Context_Prompt,2.88,2.1666666666666665,3.2666666666666666,3.8
