Generation Model,correctness,completeness_reference,faithfulness,completeness_question
Qwen/Qwen3-0.6B,3.6666666666666665,3.06,4.0,4.16
Qwen/Qwen3-1.7B,3.92,3.486666666666667,4.173333333333333,4.446666666666666
Qwen/Qwen3-4B,4.133333333333334,3.6533333333333333,4.38,4.506666666666667
Qwen/Qwen3-8B,4.206666666666667,3.62,4.46,4.533333333333333
