Generation Model,correctness,completeness_reference,faithfulness,completeness_question
Qwen/Qwen3-0.6B,3.6666666666666665,3.0533333333333332,4.026666666666666,4.126666666666667
Qwen/Qwen3-1.7B,3.9133333333333336,3.52,4.16,4.426666666666667
Qwen/Qwen3-4B,4.14,3.6466666666666665,4.38,4.493333333333333
Qwen/Qwen3-8B,4.206666666666667,3.6066666666666665,4.453333333333333,4.546666666666667
Qwen/Qwen3-14B,4.24,3.68,4.513333333333334,4.386666666666667
