Generation Model,correctness,completeness_reference,faithfulness,completeness_question
Qwen/Qwen3-0.6B,4.746666666666667,4.48,4.913333333333333,4.746666666666667
Qwen/Qwen3-1.7B,4.933333333333334,4.833333333333333,4.986666666666666,4.926666666666667
Qwen/Qwen3-4B,4.96,4.9,4.993333333333333,4.933333333333334
Qwen/Qwen3-8B,4.966666666666667,4.926666666666667,4.993333333333333,4.946666666666666
Qwen/Qwen3-14B,4.973333333333334,4.92,4.993333333333333,4.906666666666666
