Generation Model,correctness,completeness_reference,faithfulness,completeness_question
Qwen/Qwen3-0.6B,4.026666666666666,3.6133333333333333,4.386666666666667,4.333333333333333
Qwen/Qwen3-1.7B,4.3133333333333335,3.8466666666666667,4.66,4.56
Qwen/Qwen3-4B,4.473333333333334,4.04,4.8,4.626666666666667
Qwen/Qwen3-8B,4.473333333333334,4.033333333333333,4.88,4.6066666666666665
Qwen/Qwen3-14B,4.473333333333334,3.986666666666667,4.866666666666666,4.6066666666666665
