Generation Model,correctness,completeness_reference,faithfulness,completeness_question
Qwen/Qwen3-0.6B,4.046666666666667,3.4066666666666667,4.3933333333333335,4.46
Qwen/Qwen3-1.7B,4.54,4.053333333333334,4.6466666666666665,4.773333333333333
Qwen/Qwen3-4B,4.666666666666667,4.18,4.786666666666667,4.8
Qwen/Qwen3-8B,4.693333333333333,4.166666666666667,4.86,4.84
Qwen/Qwen3-14B,4.693333333333333,4.246666666666667,4.8933333333333335,4.8133333333333335
