Generation Prompt Used,correctness,completeness_reference,faithfulness,completeness_question
Basic_RAG_Prompt,4.8533333333333335,4.6066666666666665,4.966666666666667,4.76
COT_Prompt,4.533333333333333,4.126666666666667,4.793333333333333,4.6466666666666665
No_Context_Prompt,3.04,1.7666666666666666,3.2066666666666666,3.033333333333333
