Generation Prompt Used,correctness,completeness_reference,faithfulness,completeness_question
Basic_RAG_Prompt,4.573333333333333,4.226666666666667,4.826666666666667,4.586666666666667
COT_Prompt,4.3133333333333335,3.8933333333333335,4.506666666666667,4.48
No_Context_Prompt,2.4066666666666667,1.6133333333333333,2.68,3.16
