Generation Model,correctness,completeness_reference,faithfulness,completeness_question
meta-llama/Llama-3.2-1B-Instruct,3.52,2.9133333333333336,3.9133333333333336,3.9133333333333336
meta-llama/Llama-3.2-3B-Instruct,4.086666666666667,3.48,4.42,4.266666666666667
