Generation Model,correctness,completeness_reference,faithfulness,completeness_question
Qwen/Qwen3-0.6B,4.546666666666667,4.28,4.68,4.706666666666667
Qwen/Qwen3-1.7B,4.806666666666667,4.593333333333334,4.906666666666666,4.866666666666666
Qwen/Qwen3-4B,4.886666666666667,4.72,4.966666666666667,4.866666666666666
Qwen/Qwen3-8B,4.866666666666666,4.693333333333333,4.913333333333333,4.906666666666666
Qwen/Qwen3-14B,4.92,4.78,4.986666666666666,4.886666666666667
