Generation Prompt Used,correctness,completeness_reference,faithfulness,completeness_question
Basic_RAG_Prompt,4.1,3.54,4.473333333333334,4.246666666666667
COT_Prompt,3.7466666666666666,3.04,3.8133333333333335,4.1866666666666665
No_Context_Prompt,2.3,1.5466666666666666,2.9466666666666668,3.2466666666666666
