Generation Model,correctness,completeness_reference,faithfulness,completeness_question
Qwen/Qwen3-0.6B,4.16,3.6733333333333333,4.546666666666667,4.3933333333333335
Qwen/Qwen3-1.7B,4.573333333333333,4.266666666666667,4.706666666666667,4.766666666666667
Qwen/Qwen3-4B,4.6866666666666665,4.3533333333333335,4.9,4.786666666666667
Qwen/Qwen3-8B,4.706666666666667,4.34,4.846666666666667,4.786666666666667
Qwen/Qwen3-14B,4.72,4.406666666666666,4.953333333333333,4.773333333333333
